id,school,professor,course,rating,review
50,강대,임정원,사회복지조사론,3,내용이어렵구...교수님은 잘가르치시긴 하는데..ㅠㅠ
51,강대,김수완,사회문제론,2,시험이 어려워요ㅠㅠ빈칸문제가 너무 많아요 한 40개정도빈칸임..
52,강대,유호림,세무학개론,3,"유교수님은 우리학교 경세학생들을 사랑함이 눈에 보입니다. 하지만 회계원론에 대한 수업 방식은 확실히 선행되는 학습이 있어야 수업을 들을 때 따라갈 수 있습니다. 이 강의 듣기 이전 안창남 교수님은 선행학습이 좋지 못한거라고 세무학개론 시간에 회계를 가르치지 않으셨습니다. 하지만 다음 학기에 유호림 교수님의 회계원론을 들으니 수업시간의 절반이 도움이 되는 수업 이외의 이야기이고, 그러다보니 수업시간이 많이 모자란 상황인데 ,한 강의에 2개의 단원을 진도나가니까 도저히 따라가기가 힘들었습니다. 선행학습 없인 못듣는다는 거죠. 회계원론강의를 한 학기에 압축해야하다보니 이런 결과가 생긴 것 같습니다. 강의 듣기 전에 반드시 공부해놓고 들으시길 바랍니다."
53,강대,이춘호,도시의이해,3,외우라는거 다 외우고 쓴다음 과제도 해서 냈다(자기가 평타는 친거같다) ☞ C +
54,강대,윤승태,채플(이웃사랑)II,2,졸업요건이라서 듣는다 꿈에서 주님 영접하는 시간
55,강대,고운정,AcademicEnglishII(intro),5,진짜 너무너무너무너무 좋으신 분... 이런 교수님이 세상 또 어디에 있을까 싶음
56,강대,이희정,이산수학,4,"교수님 잘 가르치시는 것도 맞고 한데..수업 속도 너무 빠르심..이산수학이라 그나마 다행이지, 3학년 수업에서 뵀으면 ㅎ;"
57,강대,윤신숙,신소재의이해,5,강의 내용이 어려워서 시험 문제도 어려움 근데 달달 다 외우면 풀수있음 교수님도 엄청 좋으신데 가끔 무슨말인지 이해가 안될 때 있음 조모임 없고 과제도 1번인데 되게 간단해서 하루안에 다 할 수 있음 영상도 자주보는데 거의 수업참여물 제출해야함 ㅇㅇ 이 교수님 좋으셔서 다른 강의도 들어보고싶은 생각 들음
58,강대,정혜경,글쓰기,5,글쓰기는 무줘건 정혜경 교수님이다. 진짜 노춘기교수님 등등 글쓰기 교수님 드 들어봤는데 정혜경 교수님이 갑이야!! 다들 정혜경교수님 들어
59,강대,임정원,사회복지조사론,3,교수님 수업은 진짜 좋고 잘 가르쳐주시는데.. 너무 과제가 많고 수업 빠지면 엄청 안좋아하세요..! 지금 기말공부중인데 포기 했어요 ㅎㅎ
60,강대,이진영,컴퓨터프로그래밍,5,학점 받아보기 전까지는 함부로 평가하지 마라. 나는 시험을 너무 못봐서 재수강 해야할 줄 알았다.그런데 A 나왔다. 그냥 교수님 말 한귀로 흘리고 대신에 출석 빼 먹지 말고 못하는 거 있으면 질문해서 눈에 띄면 점수는 정말 후하게 주실 것이다.
61,강대,김영곤,부동산금융론,1,최악of최악 교수님이 왜 존재하는지 궁금해지는 수업.프린트하라고 올려주는 프린트는 시험과 강의에 1도 관랸없음. 수업설명도 우리가 다 아는것이라고 전제하에 아무런 설명도 없이 막 나감. 심지어 한 학생한테 수업을 맡기는데 교수는 참관도 안함. 혼자 앞에서 강의하는 학생은 뭔 죄인거 싶음. 아무튼 듣지마세요 진짜 최악의 수업.
62,강대,김경환,인성과학문II,4,개인면담은 직접 연락드리고 시간이랑 날짜 잡아야 합니다!성적 좋으면 별말씀 안 하시고 열심히 하라고 격려해주십니다!이것저것 해보라고 제안도 많이 해주시고 좋아요! 저는 10분? 15분?정도 면담했던 거 같습니다.
63,강대,이진영,컴퓨터프로그래밍,1,"살면서 본 사람중 제일 융통성 없음, 대화불가능, 최악의 교양 이였음"
64,강대,이여봉,대학생의인생설계,4,조모임 때문에 약간 민망하고 어색하지만 생각보다 유용한 거 배울 때도 있어서 좋은 수업
65,강대,윤석진,공공인재실무와역량,3,교수님 교재로 수업 하는 거라서 책에 있는 해설이랑 수업이랑 비슷함 시험 기간에 문제만 열심히 풀어보면 점수 괜찮게 나옴!!!
66,강대,이회규,민법총칙,3,솔직히 수업을 듣고 안 듣고는 큰 차이 없는듯 수업 열심히 들으면 그냥 나중에 시험기간에 조금 편한?가답안 만드는 것도 힘들고 그거 외우는 것도 힘듦... 통으로 외우는 거 어려워하는 분들은 들을 때 많이 힘들 수업
67,강대,오세진,인성과학문II,5,인학 들으셔야 하면 꼭 이 교수님 인학 들으세용 너무 친절하시고 너무 좋아요
68,강대,윤승태,채플(이웃사랑)II,2,자리가 불편해요 내용은 뭐 항상 똑같고... 그냥 그래요 이젠
69,강대,권오진,재무회계,5,"단순하게 말하자면 수업시간에 푸는 예제를 어떻게 풀어야 되는지 원리를 익히고 시험 보면 됨, 여러번 반복하길 바람. 경영학과이든 세무하고가이든 권오진교수님이 수업시간에 하라는 대로만 하면 학점은 높게 맞을 수 있음.단, 회계원리 정도는 기억하고 있어야 함."
70,강대,성용운,중급회계II,2,"보강 너무 많음,세무사 회계사 준비하는 학생들을 주로 챙김세무사 회계사 준비하는 친구들은 해당 강의만으로 부족함.회계사 세무사 준비하는 친구들은 복습용정도로 보임학점을 위해서라면 경영학과 재무회계 추천함"
